"action",,"add, del, edit",,"Lägg till, ta bort, eller redigera en anknytning."
"devinfo_canreinvite","no",,"canreinvite","Titta i sip.conf."
"devinfo_context","from-internal",,"context","Enhetetens sammanhang (from-internal är standard i FreePBX)."
"devinfo_immediate","no",,"immediate","Titta i zapata.conf."
"devinfo_signalling","fxo_ks",,"signalling","Titta i zapata.conf."
"devinfo_echocancel","yes",,"echocancel","Titta i zapata.conf."
"devinfo_echocancelwhenbridged","no",,"echocancelwhenbridged","Titta i zapata.conf."
"devinfo_echotraining","800",,"echotraining","Titta i zapata.conf."
"devinfo_busydetect","no",,"busydetect","Titta i zapata.conf."
"devinfo_busycount","7",,"busycount","Titta i zapata.conf."
"devinfo_callprogress","no",,"callprogress","Titta i zapata.conf."
"devinfo_host","dynamic",,"host","Titta i sip.conf eller i iax.conf."
"devinfo_type","friend",,"type","Titta i sip.conf eller i iax.conf."
"devinfo_nat","yes",,"nat","Titta i sip.conf."
"devinfo_port",,,"port","Titta i sip.conf eller i iax.conf. Standard för sip är 5060, för iax2 är det 4569."
"devinfo_qualify","yes",,"qualify","Titta i sip.conf eller i iax.conf."
"devinfo_callgroup",,,"callgroup","Titta i sip.conf."
"devinfo_pickupgroup",,,"pickupgroup","Titta i sip.conf."
"devinfo_disallow",,,"disallow","Titta i conf-filen för enhetstyp. Codec(s) att sätta i läge disallow."
"devinfo_allow",,,"allow","Titta i conf-filen för enhetstyp. Codec(s) att sätta i läge allow."
"devinfo_dial",,,"dial","Titta i conf-filen för enhetstyp. Standard är TYP/exten, t.ex. SIP/101. För zap är det TYP/channel, t.ex. ZAP/1."
"devinfo_accountcode",,,"accountcode","Titta i conf-filen för enhetstyp."
"devinfo_mailbox",,,"mailbox","Titta i conf-filen för enhetstyp. Standard är det exten@device, t.ex. 101@device."
"devinfo_deny",,,"deny","IP-aderss för nätverk/mask att spärra. Standard är det 0.0.0.0/0.0.0.0 (alla adresser)."
"devinfo_permit",,,"permit","IP-adress för nätverk/mask att tillåta. Standard är det 0.0.0.0/0.0.0.0 (alla adresser). Exempel på giltiga adresser är: 192.168.1.0/255.255.255.0 (alla IP-adresser i området 192.168.1.0-255) eller 10.1.0.42/255.255.255.255 (en enkel adress)."
"devicetype","fixed","fixed, adhoc",,"Extensions require that devicetype be fixed. If devicetype is adhoc, FreePBX must manage it in Device and Users mode, not Extensions mode."
"deviceid",,,,"Defaults to be the value of extension (see item 1 of this table)."
"deviceuser",,,,"Fixed devices will always be mapped to this user.  Adhoc devices will be mapped to this user by default.<br><br>If selecting 'New User', a new User Extension of the same Device ID will be set as the Default User."
"description",,,,"The caller id name for this device will be set to this description (until it is logged into - possible when adhoc devicetype is used)."
"dictenabled","disabled","enabled, disabled","Dictation Service",,
"dictformat","ogg","ogg, gsm, wav","Dictation Format",,
"dictemail",,,"Email Address","The email address that completed dictations are sent to."
"langcode",,,"Language Code","The language code for this user. This will result in messages such as voiclangcode prompts to use the selected language if installed."
"record_in","Adhoc","Adhoc, Always, Never","Record Incoming","Record all inbound calls received at this extension."
"record_out","Adhoc","Adhoc, Always, Never","Record Outgoing","Record all outbound calls received at this extension."
"vm","disabled","enabled, disabled","Status","Set voicemail status for this user."
"vmpwd",,,"Voicemail Password","This is the password used to access the voicemail system.<br><br>This password can only contain numbers.<br><br>A user can change the password you enter here after logging into the voicemail system (*98) with a phone."
"email",,,"Email Address","The email address that voicemails are sent to."
"pager",,,"Pager Email Address","Pager/mobile email address to which short voicemail notifcations are sent."
"attach","attach=no","attach=yes, attach=no","Email Attachment","Option to attach voicemails to email."
"saycid","saycid=no","saycid=yes, saycid=no","Play CID","Read back caller's telephone number prior to playing the incoming message, and just after announcing the date and time the message was left."
"envelope","envelope=no","envelope=yes, envelope=no","Play Envelope","Envelope controls whether or not the voicemail system will play the message envelope (date/time) before playing the voicemail message. This settng does not affect the operation of the envelope option in the advanced voicemail menu."
"delete","delete=no","delete=yes, delete=no","Delete Vmail","If set to &quot;yes&quot; the message will be deleted from the voicemailbox (after having been emailed).  Provides functionality that allows a user to receive their voicemail via email alone, rather than having the voicemail able to be retrieved from the Web interface or the Extension  handset. CAUTION: MUST HAVE attach voicemail to email SET TO YES OTHERWISE YOUR MESSAGES WILL BE LOST FOREVER."
"options",,,"VM Options","Separate options with pipe ( | ) <br><br>ie: review=yes|maxmessage=60"
"vmcontext","default",,"VM Context","This is the Voicemail Context which is normally set to default. Do not change unless you understand the implications."
"vmx_state",,"checked, (leave blank to disable)","VmX Locater&trade;","Enable/Disable the VmX Locater feature for this user. When enabled all settings are controlled by the user in the User Portal (ARI). Disabling will not delete any existing user settings but will disable access to the feature"
"vmx_unavail_enabled",,"checked, (leave blank to disable)","Use When: unavailable",
"vmx_busy_enabled",,"checked, (leave blank to disable)","Use When: busy",
"vmx_play_instructions",,"checked, (leave blank to disable)","Voicemail Instructions: Standard voicemail prompts.","Uncheck to play a beep after your personal voicemail greeting."
"vmx_option_0_system_default",,"checked, (leave blank to disable)","Go To Operator","Pressing 0 during your personal voicemail greeting goes to the Operator. Uncheck to enter another destination here. This feature can be used while still disabling VmX to allow an alternative Operator extension without requiring the VmX feature for the user."
"vmx_option_0_number",,,"Press 0:","Pressing 0 during your personal voicemail greeting goes to the Operator. Uncheck to enter another destination here. This feature can be used while still disabling VmX to allow an alternative Operator extension without requiring the VmX feature for the user."
"vmx_option_1_system_default",,"checked, (leave blank to disable)",,,
"vmx_option_1_number",,,"Press 1:","The remaining options can have internal extensions, ringgroups, queues and external numbers that may be rung. It is often used to include your cell phone. You should run a test to make sure that the number is functional any time a change is made so you don't leave a caller stranded or receiving invalid number messages."
"vmx_option_2_number",,,"Press 2:","Use any extensions, ringgroups, queues or external numbers. <br/><br/>Remember to re-record your personal voicemail greeting and include instructions. Run a test to make sure that the number is functional."
"account",,,"Follow Me: (Follow Me page)","Extension of account."
"ddial",,"checked, (or leave blank)","Disable: (Follow Me page)","By default (not checked) any call to this extension will go to this Follow-Me instead, including directory calls by name from IVRs. If checked, calls will go only to the extension.<BR>However, destinations that specify FollowMe will come here.<BR>Checking this box is often used in conjunction with VmX Locater, where you want a call to ring the extension, and then only if the caller chooses to find you do you want it to come here."
"pre_ring","0","0-60","Initial Ring Time: (Follow Me page)","This is the number of seconds to ring the primary extension prior to proceeding to the follow-me list. The extension can also be included in the follow-me list. A 0 setting will bypass this."
"strategy","ringallv2","ringallv2, ringallv2-prim, ringall, ringall-prim, hunt, hunt-prim, memoryhunt, memoryhunt-prim, firstavailable, firstnotonphone","Ring Strategy: (Follow Me page)","<b>ringallv2</b>:  ring primary extension for initial ring time followed by all additional extensions until one answers<br><b>ringall</b>:  ring all available channels until one answers (default)<br><b>hunt</b>: take turns ringing each available extension<br><b>memoryhunt</b>: ring first extension in the list, then ring the 1st and 2nd extension, then ring 1st 2nd and 3rd extension in the list.... etc.<br><b>*-prim</b>:  these modes act as described above. However, if the primary extension (first in list) is occupied, the other extensions will not be rung. If the primary is FreePBX DND, it won't be rung. If the primary is FreePBX CF unconditional, then all will be rung<br><b>firstavailable</b>:  ring only the first available channel<br><b>firstnotonphone</b>:  ring only the first channel which is not off hook - ignore CW<br>"
"grptime","20","0-60","Ring Time (max 60 sec) (Follow Me page)","Time in seconds that the phones will ring. For all hunt style ring strategies, this is the time for each iteration of phone(s) that are rung"
"grplist","User's own extension",List of extensions (hyphen separated),"Follow-Me List: (Follow Me page)","extension-extension-extension-... (extension is numeric; multiple extensions separated by '-')<br><br>You can include an extension on a remote system, or an external number by suffixing a number with a pound (#).  ex:  2448089# would dial 2448089 on the appropriate trunk (see Outbound Routing)."
"annmsg_id","blank or 0 (means None)","any recording id active on system","Announcement: (Follow Me page)","Message to be played to the caller before dialing this group.<br><br>To add additional recordings please use the "System Recordings" MENU to the left"
"ringing","Ring","Ring, default, none, or any active Music On Hold class on the system","Play Music On Hold? (Follow Me page)","If you select a Music on Hold class to play, instead of 'Ring', they will hear that instead of Ringing while they are waiting for someone to pick up."
"grppre",,,"CID Name Prefix: (Follow Me page)","You can optionally prefix the Caller ID name when ringing extensions in this group. ie: If you prefix with 'Sales:', a call from John Doe would display as 'Sales:John Doe' on the extensions that ring."
"dring",,"Valid alert info text recognized by SIP phone","Alert Info: (Follow Me page)","You can optionally include an Alert Info which can create distinctive rings on SIP phones."
"needsconf",,"CHECKED or (blank)","Confirm Calls: (Follow Me page)","Enable this if you're calling external numbers that need confirmation - eg, a mobile phone may go to voicemail which will pick up the call. Enabling this requires the remote side push 1 on their phone before the call is put through. This feature only works with the ringall/ringall-prim  ring strategy"
"remotealert_id","blank or 0 (means Default)","any recording id active on the system","Remote Announce: (Follow Me page)","Message to be played to the person RECEIVING the call, if 'Confirm Calls' is enabled.<br><br>To add additional recordings use the "System Recordings" MENU to the left"
"toolate_id","blank or 0 (means Default)","any recording id active on the system","Too-Late Announce: (Follow Me page)","Message to be played to the person RECEIVING the call, if the call has already been accepted before they push 1.<br><br>To add additional recordings use the "System Recordings" MENU to the left"
"postdest",,"Text in the format <b>context,exten,priority</b> that is an active dialplan destination on the system","Destination if no answer: (Follow Me page)",
